,,,,,,,Totals,,,Advanced,,,,,,,,,,,,,,,,,,,,Per 75 Possesions,,,,,,,,,,,,,,,,,,,,Shooting,,
Rk,Player,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
330,Nickeil Alexander-Walker,2020-21,22,NOP,NBA,0.7,46,13,1007,12.5,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,101,112,-0.3,1,0.035,-1.4,-0.2,-1.6,0.1,6.9,16.4,4.1,8.5,2.7,7.8,1.7,2.4,0.5,4.7,5.1,3.6,1.7,0.8,2.5,3.1,18.1,0.419,0.485,0.347,0.502,0.727,0.522
331,Thanasis Antetokounmpo,2020-21,28,MIL,NBA,0.7,57,3,551,10.3,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,104,112,0,0.6,0.057,-3.6,-0.3,-3.9,-0.3,4.3,8.8,3.8,6.9,0.4,1.9,1.6,3.1,3.5,4.5,7.9,2.9,1.4,0.6,2.7,4.7,10.6,0.489,0.556,0.241,0.515,0.51,0.523
332,Amir Coffey,2020-21,23,LAC,NBA,0.7,44,1,394,10.1,0.544,0.369,2.9,9.4,6.3,7.4,1.3,0,11.1,15.1,115,114,0.4,0.3,0.085,-2.1,-0.5,-2.6,-0.1,4.2,9.7,2.1,4.4,2.2,5.3,2.5,3.6,0.9,3.2,4.1,2.1,0.9,0,1.4,2.8,13.2,0.437,0.468,0.411,0.549,0.711,0.585
333,Trent Forrest,2020-21,22,UTA,NBA,0.7,30,0,302,11.2,0.366,0.268,4,11.1,7.7,19.9,1.5,1.1,20.9,14.3,113,110,0.3,0.4,0.106,-2.9,0.7,-2.2,0,3.9,8.6,3.3,5.4,0.6,3.1,2.3,2.3,1.3,4,5.3,5.4,1.1,0.5,2.5,2.7,10.6,0.451,0.6,0.192,0.486,1,0.554
334,Gary Harris,2020-21,26,TOT,NBA,0.7,39,38,1080,9.1,0.409,0.226,2.1,5.9,4,10.3,1.3,1,8.9,16.7,105,117,0.2,0.6,0.033,-2.9,-1.8,-4.7,-0.8,4.7,11.8,3.1,7,1.6,4.8,2.2,2.7,0.7,2,2.7,2.7,1,0.4,1.3,2.4,13.2,0.4,0.441,0.34,0.47,0.821,0.511
335,Jaren Jackson,2020-21,21,MEM,NBA,0.7,11,4,258,18,0.48,0.336,6.9,18.7,12.7,6.8,2.2,6.3,9.5,25.9,109,106,0.2,0.5,0.123,-0.7,0.6,-0.1,0.1,7.4,17.4,5,9,2.4,8.3,4.9,5.8,2.4,6.3,8.6,1.7,1.7,2.5,2.1,5.8,22,0.424,0.554,0.283,0.492,0.833,0.551
336,Tyler Johnson,2020-21,28,BRK,NBA,0.7,39,3,684,8.2,0.721,0.115,1,10.9,6.2,8.7,1,0,8.1,13.3,111,117,0.4,0.3,0.049,-2.5,-1.3,-3.8,-0.3,3.8,9.7,1.3,2.7,2.5,7,1,1.1,0.3,3.8,4.1,2.5,0.7,0,0.9,2.3,11.1,0.393,0.471,0.364,0.525,0.857,0.546
337,Luke Kornet,2020-21,25,TOT,NBA,0.7,31,2,348,13.3,0.584,0.059,4.4,17,10.7,9.5,0.6,8.5,6.3,13.7,112,110,0.2,0.5,0.095,-0.7,1.3,0.6,0.2,4.6,10.6,3,4.4,1.6,6.2,0.3,0.6,1.5,5.6,7,2.5,0.4,3.4,0.7,2.1,11.1,0.436,0.69,0.254,0.51,0.5,0.511
338,Jake Layman,2020-21,26,MIN,NBA,0.7,45,11,627,11.4,0.424,0.201,2.2,9.7,5.8,6.4,2.2,2.6,11.5,15.1,107,115,0.2,0.5,0.051,-2.6,-0.1,-2.7,-0.1,5.1,10.4,3.8,6,1.3,4.4,1.5,2.1,0.7,3.1,3.8,1.6,1.6,1.1,1.5,2.5,13.1,0.495,0.642,0.295,0.557,0.703,0.577
339,Abdel Nader,2020-21,27,PHO,NBA,0.7,24,0,355,13.4,0.371,0.319,2.3,17.3,9.9,7.3,1.4,2.3,12.6,19,111,111,0.3,0.4,0.095,-1.2,0.8,-0.4,0.2,5.9,12.1,4.1,7.6,1.9,4.5,2.9,3.9,0.7,5.7,6.5,2,1,0.9,2,3.5,16.7,0.491,0.534,0.419,0.569,0.757,0.605
340,Jaylen Nowell,2020-21,21,MIN,NBA,0.7,42,0,759,12.3,0.448,0.164,2.6,11.3,6.8,12.5,1.4,1.4,7.2,21.4,107,117,0.3,0.4,0.044,-1.5,-1.6,-3.1,-0.2,6.6,15.6,4.3,8.6,2.3,7,2.1,2.6,0.9,3.5,4.4,2.9,1,0.6,1.3,3.4,17.7,0.424,0.497,0.333,0.499,0.818,0.528
341,J.J. Redick,2020-21,36,TOT,NBA,0.7,44,0,723,9.9,0.667,0.195,0.6,9,4.8,9.7,0.7,0.4,11,19.2,109,118,0.4,0.3,0.045,-1.5,-2.2,-3.7,-0.3,5.3,13.4,2,4.5,3.3,8.9,2.5,2.6,0.2,3,3.2,2.6,0.6,0.2,1.8,2.5,16.4,0.397,0.449,0.371,0.521,0.942,0.564
342,Denzel Valentine,2020-21,27,CHI,NBA,0.7,62,3,1036,10.1,0.582,0.041,2.6,18.3,10.5,14,1.4,0.6,9,19.5,100,112,-0.4,1.1,0.032,-2.1,-0.8,-2.9,-0.3,5.4,14.6,2.6,6.1,2.8,8.5,0.6,0.6,0.8,6.1,6.9,3.7,1.1,0.2,1.5,2.5,14.2,0.373,0.431,0.331,0.469,0.941,0.479
343,James Wiseman,2020-21,19,GSW,NBA,0.7,39,27,836,13.1,0.103,0.234,7.1,21.5,14.4,4.9,0.6,3.8,12.9,23.8,100,109,-0.4,1.2,0.042,-4,-1.4,-5.4,-0.7,8,15.5,7.5,13.9,0.5,1.6,2.3,3.6,2.3,7.2,9.5,1.1,0.5,1.5,2.5,5.1,18.9,0.519,0.542,0.316,0.535,0.628,0.552
344,Anthony Gill,2020-21,28,WAS,NBA,0.6,26,4,218,13.7,0.4,0.267,7.8,17,12.4,6.7,2.1,1.5,10.7,14.2,120,111,0.3,0.3,0.123,-1.4,0.2,-1.2,0,4.8,9.5,3.6,5.7,1.1,3.8,2.1,2.5,2.5,5.6,8.1,1.7,1.6,0.6,1.3,4.3,12.7,0.5,0.639,0.292,0.558,0.813,0.597
345,Maurice Harkless,2020-21,27,TOT,NBA,0.6,37,23,772,8.1,0.509,0.261,1.9,11.1,6.4,7.3,1.9,2.3,10.7,11.5,106,116,0.2,0.4,0.038,-3.9,-0.2,-4,-0.4,3.2,7.7,2.2,3.8,1.1,3.9,1.5,2,0.6,3.6,4.2,2.1,1.4,0.9,1,4,9.1,0.418,0.568,0.274,0.488,0.767,0.527
346,Isaiah Joe,2020-21,21,PHI,NBA,0.6,41,1,383,9.5,0.797,0.18,1.8,8.5,5.2,7.2,1.5,0.9,7.1,17.4,108,111,0.2,0.4,0.078,-2.2,-1.3,-3.5,-0.1,4.5,12.6,0.8,2.5,3.7,10,1.7,2.3,0.6,2.8,3.4,1.9,1.1,0.4,1,3.2,14.4,0.361,0.333,0.368,0.508,0.75,0.533
347,Kevin Knox,2020-21,21,NYK,NBA,0.6,42,0,464,9.1,0.622,0.14,2.4,11.8,7.1,5.9,1.3,1.2,10.1,16.2,104,110,0,0.6,0.065,-1.5,-0.2,-1.7,0,4.5,11.6,1.7,4.4,2.8,7.2,1.3,1.6,0.8,4.1,4.9,1.5,1,0.5,1.4,3,13.2,0.392,0.389,0.393,0.514,0.8,0.537
348,Trey Lyles,2020-21,25,SAS,NBA,0.6,23,9,358,11.4,0.444,0.256,2.6,23.3,12.8,5.3,0.8,0.2,5.7,12.9,116,114,0.3,0.3,0.085,-1.2,-0.7,-1.9,0,4.4,9.2,2.9,5.1,1.4,4.1,1.5,2.3,0.9,7.8,8.7,1.4,0.6,0.1,0.6,1.3,11.7,0.478,0.58,0.35,0.556,0.652,0.574
349,Nicolò Melli,2020-21,30,TOT,NBA,0.6,45,4,566,7.9,0.603,0.177,5.6,17.9,11.8,9.8,1.2,0.5,7.3,12.5,106,114,0.1,0.5,0.048,-3.5,-0.1,-3.6,-0.2,3,9.1,1.5,3.6,1.5,5.5,1.2,1.6,1.9,6,7.9,2.8,0.9,0.2,0.8,3.7,8.7,0.326,0.411,0.271,0.408,0.76,0.441
350,Chimezie Metu,2020-21,23,SAC,NBA,0.6,36,6,488,14.5,0.207,0.24,7,18.7,12.7,8.2,1.4,3.1,12.8,20,109,116,0.3,0.3,0.061,-2.3,-1.7,-3.9,-0.2,6.7,13.2,5.8,10.5,1,2.7,2.3,3.2,2.3,6,8.3,2.1,1,1.3,2.1,4.4,16.7,0.508,0.549,0.351,0.545,0.721,0.571
351,Darius Miller,2020-21,30,OKC,NBA,0.6,18,0,197,15.9,0.875,0.25,1,11.8,6.3,15.4,3.1,2.3,13.1,13.2,130,111,0.4,0.2,0.156,1.2,2.7,3.9,0.3,4,8.7,0.9,1.1,3.1,7.6,2.2,2.2,0.4,4,4.3,3.8,2.4,0.9,1.4,2.4,13.2,0.458,0.833,0.405,0.635,1,0.685
352,Jahlil Okafor,2020-21,25,DET,NBA,0.6,27,2,347,13.1,0.088,0.235,7.3,13.9,10.6,6.1,0.8,1.3,15.7,16.8,114,115,0.3,0.3,0.082,-2.4,-1.1,-3.5,-0.1,6.7,10.8,6.5,9.9,0.2,1,1.8,2.5,2.4,4.6,7,1.4,0.6,0.5,2.2,4.1,15.4,0.618,0.656,0.222,0.627,0.708,0.644
353,Paul Reed,2020-21,21,PHI,NBA,0.6,26,0,177,21.2,0.077,0.103,19,18.9,19,11,2.7,6.6,12.8,22.7,111,102,0.2,0.4,0.162,-1.9,1,-0.9,0,8.6,15.9,8.6,14.7,0,1.2,0.8,1.6,6.1,6.3,12.5,2.5,2,2.7,2.5,5.9,18,0.538,0.583,0,0.538,0.5,0.54
354,Dennis Smith,2020-21,23,TOT,NBA,0.6,23,9,420,13.6,0.4,0.179,3.1,11.5,7.3,27.8,2.7,2.9,14.3,19,105,110,0.1,0.5,0.07,-1.3,1.5,0.2,0.2,5.1,12.7,3.4,7.6,1.7,5.1,1.7,2.3,1.1,3.8,4.8,6.8,2,1.2,2.3,3.2,13.5,0.4,0.448,0.328,0.466,0.731,0.492
355,Paul Watson,2020-21,26,TOR,NBA,0.6,27,2,297,10.9,0.78,0.098,1.4,15.7,8.3,8.2,1,1,9.5,13.7,120,115,0.4,0.2,0.096,-0.7,-0.7,-1.4,0,4.6,10,1,2.2,3.7,7.8,0.6,1,0.5,5,5.5,2.1,0.7,0.4,1.1,4.4,13.6,0.463,0.444,0.469,0.646,0.625,0.649
356,Dwayne Bacon,2020-21,25,ORL,NBA,0.5,72,50,1853,9.9,0.285,0.242,1.7,11.2,6.3,7.9,1.2,0.2,5.4,19.8,102,117,-0.3,0.9,0.013,-3.5,-1.6,-5.1,-1.4,5.8,14.3,4.6,10.2,1.2,4.1,2.9,3.5,0.6,3.8,4.4,1.8,0.9,0.1,0.9,2,15.5,0.402,0.449,0.285,0.443,0.824,0.49
357,Jarrell Brantley,2020-21,24,UTA,NBA,0.5,28,0,138,16.6,0.538,0.038,7.2,13.3,10.4,16.1,2.5,1.2,13.1,19,120,107,0.3,0.2,0.172,0.5,1.6,2.1,0.1,6.6,13.8,3.4,6.4,3.2,7.4,0.5,0.5,2.4,4.8,7.1,4,1.9,0.5,2.1,4.5,16.9,0.481,0.542,0.429,0.596,1,0.605
358,Troy Brown,2020-21,21,TOT,NBA,0.5,34,0,524,8.5,0.486,0.146,4.2,17.4,10.8,7.2,0.9,1,12.1,14,103,114,0,0.5,0.043,-3.3,-1,-4.3,-0.3,4.2,9.7,2.7,5,1.5,4.7,1,1.4,1.3,5.7,7.1,2,0.7,0.4,1.4,3.3,10.9,0.431,0.541,0.314,0.507,0.714,0.525
359,Gabriel Deck,2020-21,25,OKC,NBA,0.5,10,0,212,16.1,0.224,0.328,7.8,11.9,9.8,17.3,1.8,0,7.3,16.6,121,115,0.4,0.1,0.12,-0.3,-0.1,-0.4,0.1,5.4,11.3,5,8.7,0.3,2.5,3,3.7,2.7,4,6.7,4,1.3,0,1,1.5,14.1,0.478,0.577,0.133,0.493,0.818,0.548
360,Tacko Fall,2020-21,25,BOS,NBA,0.5,19,0,136,19.6,0,0.517,13,29.7,21.3,3.1,0.4,13.7,14.4,13.2,124,104,0.2,0.3,0.177,-1.5,2.6,1.1,0.1,5.7,7.8,5.7,7.8,0,0,1.3,4,4.3,9.7,14,0.8,0.3,5.4,1.6,5.9,12.7,0.724,0.724,,0.724,0.333,0.66
361,Harry Giles,2020-21,22,POR,NBA,0.5,38,0,348,12.4,0.237,0.278,9.3,32.2,20.4,11.3,1.1,3.3,15.5,15.9,106,111,0.1,0.4,0.069,-3.4,-0.2,-3.6,-0.1,4.4,10.2,3.6,7.8,0.8,2.4,1.7,2.8,3.3,10.7,14,3,0.8,1.4,2.1,5.7,11.4,0.433,0.459,0.348,0.474,0.593,0.496
362,Josh Green,2020-21,20,DAL,NBA,0.5,39,5,445,8.8,0.269,0.247,7,12.3,9.7,8.3,1.8,0.6,14.2,11.9,106,114,0.1,0.4,0.05,-3.6,0,-3.7,-0.2,3.5,7.7,3.2,5.7,0.3,2.1,1.1,1.9,2.3,4.2,6.5,2.3,1.3,0.2,1.4,2.9,8.4,0.452,0.559,0.16,0.473,0.565,0.49
363,Jaylen Hoard,2020-21,21,OKC,NBA,0.5,19,0,320,13.4,0.125,0.466,6.7,14.5,10.6,11.2,1.9,1.4,13.8,16.3,109,113,0.2,0.3,0.07,-2.4,-0.2,-2.6,-0.1,4.9,9.8,4.9,8.6,0,1.2,3.1,4.6,2.3,4.9,7.2,2.7,1.4,0.6,1.9,2.1,12.9,0.5,0.571,0,0.5,0.683,0.547
364,Danuel House,2020-21,27,HOU,NBA,0.5,36,23,932,9.1,0.574,0.232,2,13.6,7.5,10.6,1,1.5,10.7,15.3,104,117,0,0.5,0.026,-2.7,-0.5,-3.1,-0.3,4.2,10.4,2.1,4.4,2.1,5.9,1.6,2.4,0.7,4.3,5,2.6,0.8,0.6,1.4,2.6,12,0.404,0.483,0.346,0.504,0.651,0.525
365,Caleb Martin,2020-21,25,CHO,NBA,0.5,53,3,818,9.5,0.488,0.25,4,14.8,9.3,11.5,2.2,1.5,10.4,16.7,99,112,-0.4,0.9,0.03,-3.4,-0.3,-3.7,-0.4,4.3,11.5,2.9,5.9,1.4,5.6,1.8,2.9,1.4,4.9,6.3,3,1.7,0.5,1.5,2.8,11.8,0.375,0.496,0.248,0.436,0.641,0.465
366,Rodney McGruder,2020-21,29,DET,NBA,0.5,16,2,194,16.1,0.343,0.114,4.5,8.1,6.3,13.6,2,0.4,8.7,18.1,120,114,0.3,0.2,0.121,0.9,-0.2,0.7,0.1,7,13.3,4.9,8.7,2.1,4.6,1.1,1.5,1.5,2.7,4.2,3,1.5,0.2,1.3,2.3,17.3,0.529,0.565,0.458,0.607,0.75,0.619
367,Sam Merrill,2020-21,24,MIL,NBA,0.5,30,2,233,11.9,0.653,0.056,2.8,10.4,6.8,11.4,1.6,0.4,11.9,15,118,114,0.3,0.2,0.102,-0.6,-0.8,-1.4,0,4.8,10.9,1.7,3.8,3.2,7.1,0.6,0.6,0.9,3.6,4.5,3.2,1.2,0.2,1.5,2.6,13.5,0.444,0.44,0.447,0.59,1,0.603
368,Frank Ntilikina,2020-21,22,NYK,NBA,0.5,33,4,322,7.7,0.608,0.228,2,8.3,5.2,8.1,2.8,1.2,11.2,13.6,102,108,0,0.5,0.07,-4.6,2.2,-2.4,0,3.4,9.2,0.7,3.6,2.7,5.6,0.9,2.1,0.7,2.9,3.6,2.2,2.1,0.5,1.3,5.2,10.4,0.367,0.194,0.479,0.513,0.444,0.512
369,Cedi Osman,2020-21,25,CLE,NBA,0.5,59,26,1510,10.3,0.553,0.162,2.8,12.4,7.5,17.7,1.7,0.5,11.3,20.4,100,116,-0.5,1,0.014,-1.9,-0.9,-2.8,-0.3,5.4,14.4,2.9,6.4,2.4,7.9,1.9,2.3,0.9,4,4.9,4.3,1.3,0.2,2,2.9,15,0.374,0.458,0.306,0.458,0.8,0.488
370,Khyri Thomas,2020-21,24,HOU,NBA,0.5,5,2,153,21.3,0.409,0.136,4.7,8,6.3,26.9,2.8,3.5,7.9,21.1,123,113,0.4,0.1,0.164,2,0.3,2.3,0.2,7.4,15.3,5.3,9,2.1,6.3,2.1,2.1,1.6,2.6,4.2,5.8,2.1,1.4,1.4,1.9,19,0.485,0.59,0.333,0.553,1,0.586
371,Dylan Windler,2020-21,24,CLE,NBA,0.5,31,0,513,10.8,0.592,0.208,4.3,19.5,11.7,9.4,1.8,2.1,18.4,14.8,103,113,0,0.5,0.045,-1.8,0.1,-1.7,0,4.1,9.4,2.2,3.8,1.9,5.6,1.5,1.9,1.4,6.3,7.7,2.4,1.4,0.9,2.3,2.7,11.6,0.438,0.585,0.338,0.538,0.778,0.567
372,R.J. Hampton,2020-21,19,TOT,NBA,0.4,51,1,888,11.1,0.278,0.262,3.4,18.4,10.7,15.2,1.2,1,13.2,19.6,100,115,-0.3,0.7,0.021,-2.9,-0.9,-3.8,-0.4,5.6,12.9,4.5,9.3,1.1,3.6,2.3,3.4,1.2,6.2,7.4,3.6,0.9,0.4,2.2,2.5,14.6,0.435,0.482,0.31,0.478,0.671,0.507
373,Ersan İlyasova,2020-21,33,UTA,NBA,0.4,17,1,148,12.1,0.759,0.093,5.3,15.1,10.4,3.8,3.3,1.6,12.5,18.7,109,104,0.1,0.3,0.122,-2.7,1.5,-1.2,0,5.2,13.3,0.7,3.2,4.4,10.1,1.2,1.2,1.7,5.4,7.2,1,2.5,0.7,2,7.2,16,0.389,0.231,0.439,0.556,1,0.578
374,Tre Jones,2020-21,21,SAS,NBA,0.4,37,1,269,12.1,0.064,0.244,3.1,5.2,4.2,20,1.4,0,13.1,16.1,112,117,0.2,0.1,0.066,-2.2,-1.2,-3.4,-0.1,5,10.6,4.6,9.9,0.4,0.7,2.3,2.6,1.1,1.8,2.8,5.3,1.1,0,1.8,1.8,12.7,0.474,0.466,0.6,0.494,0.895,0.544
375,Nathan Knight,2020-21,23,ATL,NBA,0.4,33,0,279,13.9,0.33,0.55,10.8,17.3,14.1,4,1.6,3.2,10.8,21.7,106,112,0.1,0.3,0.07,-2.2,-1.5,-3.8,-0.1,4.9,13.2,4.1,8.9,0.8,4.4,5.8,7.3,3.6,6,9.5,1.1,1.2,1.3,2,2.9,16.4,0.37,0.463,0.182,0.4,0.8,0.499
376,Kelan Martin,2020-21,25,IND,NBA,0.4,35,0,322,13.9,0.435,0.072,6.1,20.1,13.1,7.5,1.5,2.5,10.1,20.9,105,111,0.1,0.4,0.066,-1.2,-1,-2.3,0,6.8,15.2,4.2,8.6,2.6,6.6,1,1.1,2,6.6,8.6,1.9,1.1,1.1,1.8,3.9,17.3,0.449,0.487,0.4,0.536,0.9,0.551
377,E'Twaun Moore,2020-21,31,PHO,NBA,0.4,27,1,389,10.4,0.289,0.116,4.2,8.9,6.6,13.7,1.9,1.2,15.3,17.2,103,112,0,0.4,0.049,-3.7,0.5,-3.1,-0.1,5.2,11.5,4.2,8.2,1,3.3,1.1,1.3,1.3,3,4.3,3.8,1.4,0.5,2.2,3,12.7,0.455,0.512,0.314,0.5,0.857,0.523
378,Jordan Nwora,2020-21,22,MIL,NBA,0.4,30,2,274,16.1,0.459,0.185,3.6,18.9,11.5,3.6,2.7,2.3,14.1,26,102,108,0,0.4,0.068,-0.7,-0.6,-1.3,0,8,17.4,4.4,9.4,3.6,8,2.4,3.2,1.2,6.6,7.7,0.9,2.1,0.9,3.1,2.8,22,0.459,0.466,0.452,0.563,0.76,0.586
379,Victor Oladipo,2020-21,28,TOT,NBA,0.4,33,33,1080,14.3,0.415,0.24,1.2,15.1,8,22.8,2,1.2,11.5,28.5,100,114,-0.6,1,0.017,-0.6,-0.9,-1.5,0.1,7.8,19,5.2,11.1,2.6,7.9,3.4,4.6,0.4,4.9,5.3,5,1.5,0.5,2.7,2.7,21.5,0.408,0.466,0.326,0.476,0.754,0.512
380,Justin Patton,2020-21,23,HOU,NBA,0.4,13,6,247,11.6,0.486,0.057,5.8,15.8,10.6,8.1,2.3,5.1,5.3,13,108,111,0.1,0.3,0.076,-3.8,1.7,-2,0,4.2,10.1,2.9,5.2,1.3,4.9,0.4,0.6,2,5,7,2,1.7,2,0.6,4.9,10.1,0.414,0.556,0.265,0.479,0.75,0.488
381,Cam Reddish,2020-21,21,ATL,NBA,0.4,26,21,750,9.3,0.479,0.312,3.3,11.7,7.6,6.5,2.2,1.1,10.2,19.3,100,113,-0.3,0.7,0.026,-3.2,-0.4,-3.6,-0.3,4.7,12.9,3.1,6.7,1.6,6.2,3.3,4,1.1,4,5.1,1.7,1.6,0.4,1.7,3.3,14.4,0.365,0.46,0.262,0.428,0.817,0.488
382,Lamar Stevens,2020-21,23,CLE,NBA,0.4,40,0,499,10.5,0.184,0.375,5.3,16.6,10.8,7.4,1.7,2.3,12.7,15.8,103,113,0,0.5,0.043,-4,0,-4,-0.3,4.6,10.1,4.3,8.2,0.3,1.9,2.7,3.8,1.8,5.3,7.1,1.9,1.3,1,1.7,3.9,12.2,0.456,0.523,0.16,0.471,0.725,0.521
383,Lonnie Walker,2020-21,22,SAS,NBA,0.4,60,38,1522,9.8,0.463,0.115,1,10.1,5.4,9.6,0.9,0.8,9.2,20.1,100,116,-0.5,0.9,0.012,-2.2,-1.7,-3.8,-0.7,6.1,14.6,3.7,7.8,2.4,6.7,1.4,1.7,0.3,3.4,3.7,2.4,0.7,0.4,1.6,2.4,16,0.42,0.477,0.355,0.502,0.814,0.523
384,Tremont Waters,2020-21,23,BOS,NBA,0.4,26,3,238,14.6,0.452,0.202,2.3,7.5,4.9,36.4,3.1,0.4,22.8,21.4,108,112,0.2,0.2,0.08,0.3,0,0.3,0.1,5.2,12.9,2.9,7.1,2.3,5.9,2.5,2.6,0.8,2.5,3.2,9.5,2.3,0.2,4.2,2.6,15.2,0.405,0.413,0.395,0.494,0.941,0.541
385,Keita Bates-Diop,2020-21,25,SAS,NBA,0.3,30,0,245,12,0.254,0.313,3.8,17.7,10.6,6.6,2.2,1.7,8.4,14.8,106,111,0.1,0.3,0.068,-2.7,0.8,-2,0,4.5,10,3.7,7.4,0.7,2.5,2.1,3.1,1.3,5.9,7.3,1.8,1.6,0.7,1,1.6,11.7,0.448,0.5,0.294,0.485,0.667,0.518
386,Armoni Brooks,2020-21,22,HOU,NBA,0.3,20,5,520,10.4,0.818,0.063,2,12.4,7,8.7,1.1,0.9,10,17.9,105,117,0.1,0.2,0.03,-1.3,-2,-3.3,-0.2,5.3,13.1,1.2,2.4,4.1,10.7,0.5,0.8,0.7,4,4.6,2,0.8,0.3,1.5,2.3,15.2,0.406,0.514,0.382,0.563,0.583,0.565
387,Devontae Cacok,2020-21,24,LAL,NBA,0.3,20,1,98,17.2,0,0.379,13.8,22.8,18.4,1.5,2.5,3.7,12.9,17.2,111,102,0.1,0.2,0.142,-1.3,0.6,-0.7,0,6.3,10.8,6.3,10.8,0,0,1.9,4.1,4.5,7.4,11.9,0.4,1.9,1.5,1.9,3,14.5,0.586,0.586,,0.586,0.455,0.576
388,Vlatko Čančar,2020-21,23,DEN,NBA,0.3,41,1,281,9.7,0.458,0.181,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,104,112,0,0.3,0.053,-2.6,-0.1,-2.7,0,4.4,9.5,3.2,5.1,1.2,4.4,1.3,1.7,1.5,5.1,6.6,1.8,1.5,0.3,1.8,2.4,11.2,0.458,0.615,0.273,0.521,0.769,0.547
389,Chris Chiozza,2020-21,25,BRK,NBA,0.3,22,1,232,12.9,0.477,0.193,1.5,9.5,5.7,36.9,1.5,2.3,14.4,21,108,115,0.1,0.2,0.063,-0.7,-0.9,-1.6,0,4.8,13.7,2.8,7.2,2,6.5,2,2.7,0.5,3.3,3.7,10.1,1.1,0.9,2.5,3,13.7,0.352,0.391,0.31,0.426,0.765,0.461
390,Mamadi Diakite,2020-21,24,MIL,NBA,0.3,14,1,141,12.3,0.2,0.35,6.2,18.7,12.7,7,2.3,3.8,6.1,14.6,110,108,0.1,0.2,0.102,-3.2,0.4,-2.7,0,4,10,3.7,8,0.2,2,2.7,3.5,2,6.5,8.5,2,1.7,1.5,0.7,4,11,0.4,0.469,0.125,0.413,0.786,0.477
391,Luguentz Dort,2020-21,21,OKC,NBA,0.3,52,52,1543,10.1,0.515,0.257,2.5,10.3,6.4,8.8,1.4,1.1,10,21.7,100,116,-0.6,1,0.011,-2.7,-1,-3.7,-0.7,5.7,14.8,3.1,7.2,2.6,7.6,2.8,3.8,0.9,3.5,4.4,2,1,0.4,1.8,3.1,16.8,0.387,0.432,0.343,0.475,0.744,0.513
392,Carsen Edwards,2020-21,22,BOS,NBA,0.3,31,1,276,10.2,0.568,0.117,1.2,9.4,5.2,7.4,1.2,0.3,5.7,19.3,108,116,0.1,0.2,0.051,-2.9,-1.9,-4.8,-0.2,6.2,14.7,3.8,6.4,2.4,8.4,1.5,1.7,0.4,3.1,3.5,1.9,0.9,0.1,0.9,3.3,16.3,0.423,0.604,0.286,0.505,0.846,0.527
393,Cristiano Felício,2020-21,28,CHI,NBA,0.3,18,0,84,14.7,0.154,1.231,13.3,20.9,17.2,13.6,2.3,0,16.6,12.4,125,110,0.2,0.1,0.151,-1,0.7,-0.3,0,3,5.6,3,4.8,0,0.9,3.9,6.9,4.3,6.9,11.3,3.9,1.7,0,1.7,4.3,10,0.538,0.636,0,0.538,0.563,0.574
394,Yogi Ferrell,2020-21,27,TOT,NBA,0.3,10,0,136,14.4,0.491,0.158,4.1,11.4,7.8,22.9,2.5,2,4.7,20.7,110,111,0.1,0.2,0.099,-0.8,0.2,-0.6,0,5.5,15.5,3,7.9,2.5,7.6,1.9,2.5,1.4,3.8,5.2,6,1.9,0.8,0.8,3,15.3,0.351,0.379,0.321,0.43,0.778,0.459
395,Robert Franks,2020-21,24,ORL,NBA,0.3,7,0,101,16.5,0.536,0.464,6,8.5,7.2,7.4,1.4,2.7,5.6,15.3,133,116,0.3,0.1,0.158,0.4,-0.7,-0.3,0,4.7,10.1,2.9,4.7,1.8,5.4,4.3,4.7,2.2,2.9,5.1,1.8,1.1,1.1,0.7,2.9,15.5,0.464,0.615,0.333,0.554,0.923,0.638
396,Wenyen Gabriel,2020-21,23,NOP,NBA,0.3,21,0,241,9.8,0.533,0.283,9,15.3,12.2,5.9,1.8,3.1,18.2,14.4,104,112,0,0.3,0.052,-3.2,-0.1,-3.3,-0.1,3.6,9,1.6,4.2,1.9,4.8,1.6,2.5,3,5.1,8.1,1.6,1.3,1.2,2.2,4.8,10.7,0.4,0.393,0.406,0.508,0.647,0.533
397,Jalen Harris,2020-21,22,TOR,NBA,0.3,13,2,172,15.2,0.5,0.125,1.9,9.9,5.8,16,2.3,0,15.6,22.6,110,114,0.1,0.1,0.079,0.4,0.1,0.6,0.1,7.6,15.2,4,7.6,3.6,7.6,1.5,1.9,0.6,3.2,3.8,3.6,1.7,0,3,3.2,20.3,0.5,0.528,0.472,0.618,0.778,0.632
